名称,经度,纬度,距离,建筑年代,楼栋总数,房屋总数
正阳世纪星城(绅鸿苑),121.480515,30.912384,880,2005,29,338
奉苑新村,121.466207,30.920155,1945,1999,26,274
南亭公寓,121.460741,30.907867,2723,2000,25,266
九华丽苑,121.460980,30.925206,2549,2014,20,741
曙光新村(南桥),121.472526,30.915556,1369,1993,28,277
银河丽湾,121.493352,30.917069,673,2013,16,1105
百合苑(别墅),121.466855,30.938452,2913,2006,192,192
丽江苑,121.470652,30.919254,1514,2012,4,189
金鹏花苑,121.466503,30.913032,1999,1997,17,146
正阳领郡,121.480441,30.906520,1443,2009,418,418
万龙新村,121.472762,30.921123,1344,2001,88,988
新发展公寓,121.457954,30.911402,2833,2001,12,217
万明花园,121.506839,30.912419,2055,,30,90
奉浦苑,121.464338,30.935484,2842,1998,99,746
运河新村(南桥),121.461907,30.919084,2347,1984,104,1375
育秀九区,121.472472,30.907157,1832,1996,139,1684
九华新园,121.460173,30.931629,2911,2006,156,838
杨王职工公寓,121.489228,30.903160,1718,1997,9,44
洪卫新村,121.457189,30.914491,2830,1984,11,88
同盛南桥花园,121.458177,30.927783,2896,2011,13,664
树园新苑,121.469440,30.923962,1740,2009,52,746
恒盛湖畔豪庭,121.485837,30.930058,1297,2010,215,3369
南郊御墅,121.479758,30.926341,1091,2011,51,880
南奉公路9708弄,121.459216,30.911563,2712,1995,15,182
卓越世纪中心(奉贤),121.494352,30.912079,1030,2012,68,5296
古华新村,121.466790,30.917431,1883,1983,240,2929
育秀一区,121.462261,30.909596,2512,1997,57,631
绿地望海新都,121.491335,30.916004,535,2010,6,512
绿地观邸,121.497223,30.939272,2538,2010,16,1024
江海花园,121.463052,30.902841,2830,1996,225,2687
南郊庄园,121.480386,30.924815,920,2010,36,36
曙光新苑,121.475284,30.915723,1110,2000,60,732
百合苑(公寓),121.466855,30.938452,2913,2006,29,702
中心公馆,121.457963,30.909926,2882,2012,3,1269
育秀三区,121.466200,30.911279,2093,1992,171,1894
奥克苑,121.463971,30.927184,2360,2004,7,60
华龙别墅,121.473390,30.932702,2022,2000,24,27
绿地翡翠公馆,121.472395,30.917821,1346,2008,1,442
绿地南桥新苑,121.468582,30.929892,2133,2004,345,5298
蓝天苑,121.477909,30.919739,831,2002,56,840
南星新村,121.460451,30.909625,2671,1993,29,478
曙光新区,121.472526,30.915556,1369,1997,100,1241
亿阳戴家新苑,121.463269,30.908385,2481,2006,17,162
横泾新村,121.460222,30.918740,2507,1983,16,205
万隆花苑,121.468477,30.920462,1734,1985,39,490
古华A区,121.466790,30.917431,1883,1992,142,1594
九华南苑,121.463646,30.928113,2433,2004,9,108
古华B区,121.467265,30.917789,1836,1993,49,604
庙泾新村,121.490217,30.917393,374,2006,44,454
浦南园,121.473262,30.904788,1973,2004,54,613
航星二村,121.464680,30.932702,2619,1998,60,244
普康苑,121.471209,30.904315,2142,2002,66,753
半岛君望,121.483432,30.915684,420,2013,81,81
南中新村,121.457728,30.912613,2820,1985,21,209
馨雅名筑,121.482166,30.917704,419,2015,14,686
中粮南桥半岛,121.482558,30.921827,533,2012,76,1127
金辉天鹅湾,121.472684,30.925523,1536,2016,22,874
铭邦华府,121.459818,30.929336,2821,2012,13,382
秋月朗庭,121.461089,30.927921,2645,2015,75,1261
申凡公寓,121.458703,30.910300,2802,2002,2,60
富康花苑,121.469953,30.905798,2112,1999,32,373
育秀公寓,121.461021,30.910797,2574,1994,1,104
金叶小区,121.462910,30.914920,2284,,8,69
绿地未来中心,121.489588,30.915770,418,2008,8,2623
立新新村(奉贤),121.459093,30.916443,2624,1994,46,481
金海苑,121.499990,30.917518,1294,2012,60,1514
华龙公寓(曙光新村),121.478825,30.916921,749,1999,55,842
航星新村,121.466563,30.919099,1903,1990,26,166
浦泾苑,121.503936,30.923421,1758,2013,5,246
南郊一品,121.492128,30.925691,973,2014,9,1013
南郊美墅,121.488922,30.925620,835,2009,115,160
朝阳新村,121.510370,30.903068,2850,1983,41,486
东原郦湾,121.503183,30.918142,1595,,61,878
绿地智尊,121.497223,30.939272,2538,2009,2,616
绿地至尊,121.497223,30.939272,2538,,4,363
苏宁荣悦,121.488675,30.919733,256,2015,12,592
曙光新村(奉城),121.468726,30.914521,1749,1983,23,540
华宛小区,121.458635,30.908498,2879,1990,17,124
弘泽欣园,121.464476,30.926121,2269,2003,11,122
锦梓家园,121.466308,30.932997,2519,2002,39,50
人民中路67弄,121.459320,30.912170,2685,,3,28
泰和名都,121.482912,30.926580,970,2015,73,724
正阳TOP,121.480337,30.907920,1306,2014,2,124
金昊雅苑,121.503188,30.918003,1596,2016,14,483
育秀八区,121.472472,30.907157,1832,1997,80,921
新建中路540弄,121.458438,30.917580,2679,1998,10,70
金昊雅苑南区,121.503188,30.918003,1596,2016,14,672
新发展公寓商业街,121.457954,30.911402,2833,,11,13
育秀东区15幢547号,121.472472,30.907157,1832,,1,1
运河新村(洪庙),121.461907,30.919084,2347,,7,55
绿地领御,121.491335,30.916004,535,2010,15,5743
正阳世纪星城芳邻苑,121.478425,30.914159,903,2005,22,258
正阳世纪星城行知苑,121.475069,30.912706,1261,2005,41,476
正阳世纪星城居礼苑,121.478839,30.912363,992,2005,29,481
正阳世纪星城文华苑,121.477301,30.909376,1334,2005,41,807
正阳世纪星城莱茵之恋,121.477301,30.909376,1334,2007,31,341
正阳世纪星城名仕苑,121.476569,30.912146,1175,2005,18,342
正阳世纪星城丽骏湾,121.477301,30.909376,1334,2010,9,605
正阳世纪星城英伦风情,121.477301,30.909376,1334,2007,48,836
正阳世纪星城米兰风尚,121.477301,30.909376,1334,2007,56,840
育秀二区,121.465024,30.909938,2255,1995,111,1225
育秀四区,121.471209,30.911973,1624,1997,74,762
育秀五区,121.463535,30.906397,2567,1995,111,1286
育秀七区,121.466114,30.907783,2276,1996,51,589
育秀西区,121.463535,30.906397,2567,,1,3
